"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"12309500",0.55,25.47,1.01,0.45,0.7,5,10,"2017"
"12322000",0.57,24.37,1,0.46,0.71,4.93,13,"2017"
"12413370",0.57,13.66,0.89,0.52,0.86,3.33,21,"2017"
"13092747",0.5,8.45,1.13,0.45,0.9,6.97,2,"2017"
"13150430",0.63,-8.91,1.2,0.57,0.93,5.4,9,"2017"
"13154500",0.44,11.52,1.16,0.39,0.83,9.05,2,"2017"
"13176400",1.05,-5.7,1,0.83,0.84,2.45,72,"2017"
"13192200",0.4,22.69,0.81,0.34,0.78,4.72,8,"2017"
"13211205",0.58,19.35,0.94,0.51,0.84,5.02,4,"2017"
"13211210",0.58,19.35,0.98,0.51,0.84,5.41,4,"2017"
"13296000",0.57,5.11,0.93,0.49,0.8,2.61,116,"2017"
"13307000",0.71,3.75,1.01,0.63,0.87,3.77,95,"2017"
"13310800",0.43,11.41,0.8,0.42,0.86,1.49,163,"2017"
"13310850",0.46,12.23,0.85,0.46,0.86,1.31,163,"2017"
"13311000",0.45,9.09,1.85,0.45,0.84,1.87,191,"2017"
"13311250",0.57,8.01,0.76,0.48,0.8,1.83,109,"2017"
"13311450",0.36,10.44,2.02,0.37,0.83,2.36,190,"2017"
"13317660",0.73,18.23,0.92,0.61,0.79,3.99,2,"2017"
"13340000",0.94,12.35,0.88,0.88,0.81,-0.05,71,"2017"
"13340600",0.75,11.01,0.86,0.7,0.83,1.57,68,"2017"
"13341000",0.2,73,0.66,0.05,0.07,6.49,3,"2017"
"13341050",0.37,12.72,0.75,0.32,0.76,4.45,2,"2017"
"13342500",0.43,10.26,0.74,0.38,0.83,4.1,2,"2017"
"13343000",0.54,-19.28,0.51,0.38,0.77,3.32,1,"2017"
"12309500",0.58,25.29,1.06,0.47,0.73,5,1,"2018"
"12322000",0.62,22.93,1.04,0.51,0.73,4.7,2,"2018"
"12413370",0.6,16.73,0.9,0.53,0.84,3.1,8,"2018"
"13092747",0.48,4.52,1.14,0.44,0.92,7.52,1,"2018"
"13150430",0.63,-8.72,1.28,0.59,0.94,5.46,1,"2018"
"13154500",0.53,7.39,1.06,0.48,0.89,7.21,1,"2018"
"13176400",1,-5.49,1.06,0.84,0.86,2.35,43,"2018"
"13192200",0.39,24.24,0.8,0.33,0.75,4.74,4,"2018"
"13211205",0.62,16.66,1.02,0.58,0.89,4.87,46,"2018"
"13211210",0.63,15.33,1.02,0.58,0.88,5.17,1,"2018"
"13296000",0.71,5.33,0.86,0.61,0.84,1.7,117,"2018"
"13307000",0.75,3.16,1.04,0.69,0.91,3.17,41,"2018"
"13310800",0.61,6.59,0.45,0.45,0.81,1.36,171,"2018"
"13310850",0.74,7.88,0.15,0.5,0.75,0.96,173,"2018"
"13311000",0.7,7.86,0.43,0.51,0.82,1.41,171,"2018"
"13311250",0.68,7.82,0.7,0.58,0.81,1.05,43,"2018"
"13311450",0.63,7.63,0.43,0.47,0.83,1.23,171,"2018"
"13317660",0.82,17.36,0.91,0.68,0.79,3.15,1,"2018"
"13340000",0.89,18.08,0.86,0.83,0.78,0.36,31,"2018"
"13340600",0.71,14.91,0.86,0.65,0.81,1.88,15,"2018"
"13341000",0.22,77.63,0.67,0.04,0.03,6.83,1,"2018"
"13341050",0.41,15.85,0.75,0.34,0.73,4.26,1,"2018"
"13342500",0.45,13.67,0.73,0.38,0.8,4.05,8,"2018"
"13343000",0.48,0.93,0.61,0.4,0.75,3.01,1,"2018"
"12309500",0.61,23.5,1.06,0.51,0.77,4.81,5,"2019"
"12322000",0.67,15.66,1.22,0.61,0.89,5.29,98,"2019"
"12413370",0.67,17.19,0.87,0.56,0.81,2.78,26,"2019"
"13092747",0.44,12.84,1.2,0.4,0.89,7.88,43,"2019"
"13150430",0.6,-7.55,1.39,0.56,0.94,5.78,4,"2019"
"13154500",0.42,7.57,1.18,0.38,0.89,9.41,1,"2019"
"13176400",1,-1.33,1.1,0.83,0.87,3,38,"2019"
"13192200",0.42,20.41,0.83,0.36,0.8,4.42,5,"2019"
"13211205",0.64,17.96,1,0.58,0.87,4.68,4,"2019"
"13211210",0.64,18.4,1.01,0.58,0.86,4.93,5,"2019"
"13296000",0.7,8.96,0.98,0.58,0.78,2.31,146,"2019"
"13307000",0.75,2.99,1.13,0.69,0.9,3.73,94,"2019"
"13310800",0.57,6.24,0.69,0.41,0.79,2.03,162,"2019"
"13310850",0.62,6.77,0.64,0.44,0.83,2.36,239,"2019"
"13311000",0.66,5.77,0.8,0.48,0.82,2.16,191,"2019"
"13311250",0.67,9.33,0.79,0.57,0.79,1.41,135,"2019"
"13311450",0.59,5.67,0.72,0.44,0.79,2.14,190,"2019"
"13317660",0.8,16.07,0.96,0.69,0.82,3.48,1,"2019"
"13340000",0.94,13.55,0.89,0.88,0.82,0.16,18,"2019"
"13340600",0.92,12.13,0.79,0.78,0.78,0.6,101,"2019"
"13341000",0.21,-96.31,0.64,0.02,0,6.64,1,"2019"
"13341050",0.42,11.07,0.72,0.37,0.77,3.57,1,"2019"
"13342500",0.44,9.83,0.74,0.39,0.81,3.85,1,"2019"
"12309500",0.56,22.29,1.01,0.49,0.81,4.58,1,"2020"
"12322000",0.63,21.29,1.03,0.52,0.76,4.53,65,"2020"
"12413370",0.6,13.1,0.84,0.54,0.87,2.54,3,"2020"
"13092747",0.46,4.41,1.1,0.42,0.92,7.32,8,"2020"
"13150430",0.63,-7.33,1.32,0.59,0.95,5.51,2,"2020"
"13154500",0.39,-0.13,1.15,0.36,0.92,9.63,1,"2020"
"13176400",1.01,-8.92,1.05,0.83,0.84,2.46,18,"2020"
"13192200",0.39,13.88,0.81,0.35,0.84,4.53,1,"2020"
"13211205",0.68,1.84,1.08,0.62,0.94,5.16,87,"2020"
"13211210",0.66,0.23,1.11,0.62,0.96,5.87,32,"2020"
"13296000",0.66,4.18,1.04,0.57,0.84,2.26,122,"2020"
"13307000",0.73,-0.42,1.12,0.66,0.89,3.91,103,"2020"
"13310800",0.56,1.04,0.48,0.4,0.79,1.72,207,"2020"
"13310850",0.67,2.05,-0.04,0.47,0.76,1.36,207,"2020"
"13311000",0.66,1.5,0.35,0.47,0.79,1.87,210,"2020"
"13311250",0.65,3,0.72,0.55,0.83,1.26,108,"2020"
"13311450",0.52,2.42,0.87,0.4,0.78,2.09,207,"2020"
"13317660",0.82,16.5,0.9,0.68,0.8,2.81,1,"2020"
"13340000",0.88,12.76,0.84,0.84,0.84,-0.1,10,"2020"
"13340600",0.74,12.01,0.84,0.7,0.84,1.17,19,"2020"
"13341000",0.23,-99.84,0.65,0.02,0.01,6.76,3,"2020"
"13341050",0.43,6.98,0.69,0.37,0.8,3.4,5,"2020"
"13342500",0.46,8.75,0.7,0.4,0.8,3.5,1,"2020"
"12309500",0.17,32.05,0.19,0.42,0.84,7.56,1,"2021"
"12322000",0.52,-27.93,-0.4,0.37,0.54,8.61,2,"2021"
"12413370",0.2,149.44,-0.14,0.28,0.65,6.26,1,"2021"
"13092747",0.16,31.23,0.23,0.29,0.84,8.71,1,"2021"
"13150430",0.18,29.69,0.2,0.43,0.84,5.08,1,"2021"
"13154500",0.12,95.88,0.11,0.24,0.72,10.52,1,"2021"
"13176400",0.28,139.78,-0.16,0.42,0.48,4.59,1,"2021"
"13192200",0.07,53.93,0.1,0.3,0.76,7.07,1,"2021"
"13211205",0.3,108.92,0.02,0.46,0.87,7.58,1,"2021"
"13211210",0.25,100.47,0.08,0.44,0.88,8.34,1,"2021"
"13296000",0.25,150.99,-0.18,0.33,0.56,3.41,2,"2021"
"13307000",0.22,124.86,-0.09,0.47,0.68,4.67,1,"2021"
"13310800",0.27,54.59,-0.21,0.21,0.83,2.66,2,"2021"
"13310850",0.06,116.72,-0.01,0.24,0.64,2.59,5,"2021"
"13311000",0.08,128.95,-0.03,0.29,0.56,2.18,4,"2021"
"13311250",0.09,128.71,-0.03,0.26,0.49,3.17,2,"2021"
"13311450",0.18,157.33,-0.14,0.21,0.45,2.7,5,"2021"
"13317660",0.45,111.06,-0.08,0.36,0.68,10.3,1,"2021"
"13340000",0.6,116.75,-0.32,0.67,0.74,2.76,1,"2021"
"13340600",0.37,126.1,-0.2,0.54,0.75,3.15,4,"2021"
"13341000",0.02,-29.76,0.15,0,-0.01,9.99,1,"2021"
"13341050",0.18,141.36,-0.1,0.37,0.57,5.61,3,"2021"
"13342500",0.48,133.92,-0.29,0.42,0.73,5.54,1,"2021"
