"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"10396000",0.83,-1.75,0.87,0.73,0.9,1.68,25,"2018"
"11501000",1.09,-11.37,1.27,0.89,0.84,3.57,21,"2018"
"11502500",0.72,-17.47,1.04,0.58,0.8,4.13,1,"2018"
"11507500",1.06,-3.64,1.32,0.9,0.88,3.69,2,"2018"
"11507501",1.06,-3.64,1.31,0.91,0.88,3.58,2,"2018"
"11509370",1.07,-3.27,1.29,0.89,0.85,3.66,1,"2018"
"11509500",1.05,-4.01,1.33,0.87,0.85,4.12,1,"2018"
"13331500",0.78,10.35,0.76,0.74,0.85,0.26,32,"2018"
"14034470",0.89,-0.28,0.97,0.81,0.94,1.77,11,"2018"
"14034500",0.6,23.21,0.87,0.47,0.64,4.35,4,"2018"
"14043840",1.07,-0.57,0.93,0.89,0.86,0.74,44,"2018"
"14046890",0.37,2.58,0.95,0.32,0.89,7.63,1,"2018"
"14076500",0.53,-6.52,1,0.45,0.88,5.52,1,"2018"
"14087400",0.11,-7.19,1.24,0.09,0.9,11.39,1,"2018"
"14091500",0.23,-6.85,0.74,0.21,0.93,5.14,1,"2018"
"14092500",0.36,13.13,0.92,0.28,0.75,7.33,1,"2018"
"14103000",0.63,2.94,1,0.57,0.93,5.36,6,"2018"
"14105700",0.82,25.61,0.97,0.64,0.72,4.25,1,"2018"
"14138720",0.1,-33.33,0.77,-0.06,0.47,6.56,1,"2018"
"14138850",0.61,9.18,0.75,0.54,0.88,2.23,4,"2018"
"14138870",0.58,12.05,0.83,0.5,0.84,3.03,1,"2018"
"14138900",0.45,9.23,0.65,0.4,0.88,2.72,1,"2018"
"14139800",0.65,8.97,0.82,0.56,0.86,2.62,1,"2018"
"14140020",0.69,16.39,0.85,0.54,0.75,3.47,1,"2018"
"14141500",0.74,5.21,0.84,0.66,0.88,1.93,3,"2018"
"14144800",0.6,-1.05,0.79,0.51,0.85,3.27,2,"2018"
"14144900",0.71,5.25,0.76,0.61,0.85,1.72,1,"2018"
"14145500",0.58,45.01,0.79,0.31,0.31,5.59,1,"2018"
"14147500",0.88,2.73,0.87,0.77,0.86,1.16,1,"2018"
"14148000",0.68,16.05,0.83,0.57,0.81,3.07,1,"2018"
"14150000",0.78,25.11,0.98,0.59,0.66,4.61,1,"2018"
"14150290",0.91,2.16,0.95,0.81,0.88,1.59,1,"2018"
"14150800",0.8,2.75,0.87,0.73,0.89,1.63,1,"2018"
"14151000",0.53,22.06,0.83,0.39,0.33,5.23,1,"2018"
"14152000",0.7,18.86,0.94,0.57,0.74,4.41,1,"2018"
"14153500",0.78,26.23,0.99,0.59,0.57,4.71,1,"2018"
"14154500",1.03,2.45,1.01,0.93,0.89,0.99,1,"2018"
"14155500",0.78,28.16,0.94,0.59,0.55,4.07,6,"2018"
"14158100",0.8,12.59,1.03,0.68,0.83,4.13,1,"2018"
"14158500",0.33,1.98,0.74,0.28,0.82,3.88,1,"2018"
"14158740",0.13,2.2,0.61,0.11,0.82,4.8,1,"2018"
"14158790",0.73,9.37,0.78,0.63,0.82,1.44,5,"2018"
"14158798",0.56,-0.67,0.76,0.49,0.84,2.67,2,"2018"
"14158850",0.29,12.49,0.63,0.25,0.78,3.94,6,"2018"
"14159200",0.45,2.61,0.67,0.39,0.87,3.09,6,"2018"
"14159500",0.6,2.38,0.72,0.52,0.72,2.41,2,"2018"
"14161100",0.77,8.59,0.79,0.68,0.87,1.31,6,"2018"
"14161500",0.73,9.68,0.78,0.64,0.85,1.62,3,"2018"
"14162200",0.77,44.81,0.77,0.46,0.32,3.69,1,"2018"
"14162500",0.53,7.34,0.72,0.46,0.87,3.24,1,"2018"
"14163150",0.61,5.16,0.77,0.54,0.89,2.83,3,"2018"
"14163900",0.64,3.21,0.81,0.57,0.9,2.85,3,"2018"
"14164550",0.81,0.56,0.98,0.74,0.9,2.91,1,"2018"
"14164700",0.72,-1.31,1.04,0.66,0.91,4.58,1,"2018"
"14164900",0.69,3.25,0.87,0.62,0.91,2.92,1,"2018"
