"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"14317450",0.76,-0.97,0.81,0.69,0.9,1.48,4,"2018"
"14318000",0.89,4.43,0.88,0.82,0.91,0.74,1,"2018"
"14319500",1.05,-0.2,0.93,0.94,0.9,-0.15,1,"2018"
"14320934",0.66,-0.75,0.91,0.62,0.9,3.61,1,"2018"
"14330000",0.52,-6.5,0.59,0.45,0.86,1.74,1,"2018"
"14335072",0.4,2.85,0.67,0.32,0.74,4.4,5,"2018"
"14337600",0.41,-1.28,0.69,0.34,0.78,4.43,1,"2018"
"14338000",1,-1.83,0.94,0.88,0.89,0.75,1,"2018"
"14339000",0.5,-2.32,0.73,0.43,0.86,3.9,1,"2018"
"14359000",0.63,-3.36,0.85,0.55,0.88,3.84,3,"2018"
"14361500",0.69,-5.6,0.88,0.61,0.89,3.68,5,"2018"
"14362000",0.48,3.88,0.78,0.37,0.7,5.28,1,"2018"
"14366000",0.67,-3.69,0.88,0.57,0.87,3.9,2,"2018"
"14369500",0.81,-3.72,0.97,0.71,0.9,3.51,8,"2018"
"14372300",1.22,-7.9,1.03,1.01,0.83,0.27,1,"2018"
"420451121510000",1.08,-8.75,1.31,0.91,0.87,3.8,9,"2018"
"420741121554001",1.02,-3.03,1.25,0.84,0.84,3.77,1,"2018"
"420853121505500",1.08,-3.58,1.33,0.91,0.86,3.78,1,"2018"
"420853121505501",1.03,-3.04,1.28,0.86,0.84,3.83,1,"2018"
"421015121471800",1.06,-5.05,1.34,0.9,0.86,3.92,1,"2018"
"421401121480900",1.08,-3.42,1.3,0.92,0.87,3.44,6,"2018"
"453004122510301",0.92,-6.74,1.07,0.83,0.92,3,1,"2018"
"453030122560101",0.9,-4.86,1.04,0.81,0.92,2.81,3,"2018"
"453040123065201",0.93,2.66,1.03,0.84,0.9,2.23,5,"2018"
"453630122021400",1.04,17.64,1.02,0.84,0.76,2.15,34,"2018"
"14317450",0.77,1.6,0.81,0.7,0.88,1.4,6,"2019"
"14318000",0.92,3.08,0.9,0.84,0.88,0.7,3,"2019"
"14319500",1.04,1.06,0.93,0.94,0.88,-0.04,1,"2019"
"14320934",0.78,-4.76,0.95,0.71,0.84,2.94,16,"2019"
"14330000",0.55,-0.9,0.61,0.48,0.88,1.43,1,"2019"
"14335072",0.41,-4.12,0.67,0.35,0.77,4.01,1,"2019"
"14337600",0.41,-3,0.68,0.36,0.8,4.08,1,"2019"
"14338000",1.01,1.57,0.96,0.9,0.88,0.76,6,"2019"
"14339000",0.51,0.01,0.73,0.47,0.87,3.44,1,"2019"
"14359000",0.61,1.46,0.84,0.55,0.89,3.59,1,"2019"
"14361500",0.71,-0.53,0.85,0.65,0.9,2.65,1,"2019"
"14362000",0.47,13.97,0.78,0.38,0.72,4.98,1,"2019"
"14366000",0.67,4.49,0.83,0.59,0.89,2.96,1,"2019"
"14369500",0.78,4.6,0.93,0.7,0.89,2.98,3,"2019"
"14372300",1.2,-4.86,1.01,1.03,0.83,-0.16,1,"2019"
"420451121510000",1.13,-5.76,1.39,1.01,0.91,3.3,9,"2019"
"420741121554001",1.06,-1.34,1.32,0.91,0.86,3.65,11,"2019"
"420853121505500",1.12,-1.11,1.41,0.97,0.88,3.75,1,"2019"
"420853121505501",1.07,-1.32,1.37,0.93,0.87,3.78,1,"2019"
"421015121471800",1.08,-2.73,1.42,0.95,0.88,3.98,9,"2019"
"421401121480900",1.12,-1.13,1.37,0.98,0.89,3.27,4,"2019"
"453004122510301",0.98,-6.4,1.09,0.89,0.92,2.43,5,"2019"
"453030122560101",0.93,-4.55,1.05,0.85,0.91,2.37,1,"2019"
"453040123065201",0.97,0.7,1.03,0.88,0.9,1.8,1,"2019"
"453630122021400",1.05,16.73,1.08,0.87,0.81,2.35,1,"2019"
"14317450",NA,NA,1.08,NA,0,9.8,-Inf,"2020"
"14318000",NA,NA,1.02,NA,0,9.6,-Inf,"2020"
"14319500",NA,NA,1.19,NA,0,12.1,-Inf,"2020"
"14320934",NA,NA,1.09,NA,0,10.1,-Inf,"2020"
"14330000",NA,NA,0.81,NA,0,6.5,-Inf,"2020"
"14335072",NA,NA,0.88,NA,0,8.1,-Inf,"2020"
"14337600",NA,NA,0.91,NA,0,8.6,-Inf,"2020"
