"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"12056500",0.54,21.11,0.78,0.47,0.8,2.8,6,"2017"
"12098700",0.67,5.05,0.73,0.61,0.92,1.41,9,"2017"
"12100490",0.74,5.22,0.78,0.7,0.94,0.95,6,"2017"
"12101100",0.45,10.13,0.85,0.39,0.69,5.42,4,"2017"
"12101102",0.75,5.33,0.78,0.7,0.94,0.96,6,"2017"
"12113390",0.84,7.63,0.91,0.77,0.9,1.67,2,"2017"
"12115000",0.47,14.71,0.97,0.4,0.82,4.24,2,"2017"
"12116500",0.88,16.78,0.92,0.72,0.8,1.99,7,"2017"
"12117600",0.47,12.34,0.85,0.4,0.85,4.84,2,"2017"
"12119000",0.64,8.92,0.87,0.59,0.92,3.35,2,"2017"
"12137290",0.62,18.31,0.78,0.54,0.82,2.08,7,"2017"
"12137800",0.49,15.26,0.79,0.41,0.76,3.67,2,"2017"
"12138160",0.54,31.39,0.76,0.39,0.57,3.84,2,"2017"
"12147470",0.43,15.82,0.8,0.37,0.85,4.06,2,"2017"
"12147500",0.46,11.9,0.84,0.4,0.88,4.22,15,"2017"
"12147600",0.65,17.2,0.76,0.57,0.83,1.67,8,"2017"
"12148000",0.53,17.89,0.83,0.43,0.72,3.73,2,"2017"
"12148300",0.55,15.57,0.83,0.47,0.81,3.61,2,"2017"
"12178000",0.38,39.71,0.81,0.26,0.53,5.07,2,"2017"
"12181000",0.41,31.64,0.79,0.32,0.68,4.53,8,"2017"
"12200500",0.74,16.49,0.86,0.64,0.83,2.38,4,"2017"
"12205000",0.42,11.89,0.76,0.37,0.87,3.18,8,"2017"
"12209490",0.65,14.58,0.75,0.6,0.88,1.5,7,"2017"
"12210000",0.3,-12.98,-0.05,0.49,0.88,4.04,1,"2017"
"12210700",0.65,10.13,0.8,0.59,0.91,2.21,4,"2017"
"12210900",0.87,3.48,0.91,0.8,0.94,1.19,31,"2017"
"12212050",0.65,0.6,1,0.6,0.93,4.3,2,"2017"
"12212430",0.84,-2.38,1.03,0.78,0.92,2.72,6,"2017"
"12213100",0.83,6.73,0.84,0.76,0.9,0.91,8,"2017"
"12398600",0.83,16.54,1.27,0.74,0.82,4.55,27,"2017"
"12438000",0.55,40.91,1.09,0.34,0.25,8.45,136,"2017"
"12439500",0.84,13.55,1.16,0.75,0.87,4.21,10,"2017"
"12442500",0.85,8.45,0.83,0.75,0.85,1.42,120,"2017"
"12447200",0.81,6.55,1.01,0.76,0.91,2.79,82,"2017"
"12447302",0.84,6.35,0.98,0.77,0.88,2.68,137,"2017"
"12447390",0.49,13.76,0.82,0.44,0.82,2.23,18,"2017"
"12450480",0.64,12.46,0.84,0.6,0.79,2.51,137,"2017"
"12462500",0.66,17.27,0.83,0.62,0.81,2.25,55,"2017"
"12514400",0.86,21.14,0.84,0.85,0.83,-1.76,1,"2017"
"13334300",0.75,16.64,0.94,0.65,0.83,3.72,4,"2017"
"13343595",0.69,18.25,1,0.56,0.77,5.03,2,"2017"
"13343860",0.71,20.79,1.06,0.57,0.75,5.47,5,"2017"
"13352600",0.71,22.4,1.06,0.58,0.76,5.53,2,"2017"
"13353010",0.73,23.3,1.04,0.6,0.75,5.31,16,"2017"
"14019220",0.82,22.35,0.92,0.82,0.83,-0.24,1,"2017"
"14019240",0.71,25.82,1.02,0.57,0.74,5.26,3,"2017"
"453712121071200",0.77,24.36,1.01,0.74,0.74,2.35,4,"2017"
"453845121562000",1.03,15.48,1.01,0.92,0.81,0.34,1,"2017"
"453845121564001",1.03,15.38,1.01,0.92,0.81,0.34,1,"2017"
"454249120423500",0.75,24.62,1.06,0.61,0.75,5.2,2,"2017"
"454314120413701",0.76,28.92,1.06,0.73,0.68,2.67,22,"2017"
"12056500",0.6,19.87,0.77,0.51,0.8,2.42,26,"2018"
"12098700",0.68,5.32,0.78,0.6,0.89,1.95,72,"2018"
"12100490",0.75,5.87,0.81,0.69,0.93,1.38,7,"2018"
"12101100",0.42,26.63,0.81,0.29,0.49,6.13,6,"2018"
"12101102",0.76,6.07,0.82,0.7,0.93,1.41,4,"2018"
"12113390",0.9,6.67,0.92,0.8,0.89,1.46,3,"2018"
"12115000",0.5,18.55,0.9,0.39,0.77,3.9,1,"2018"
"12116500",0.93,15.56,0.97,0.74,0.78,2.34,1,"2018"
"12117600",0.49,6.75,0.86,0.42,0.87,4.79,1,"2018"
"12119000",0.68,6.3,0.87,0.62,0.92,3.17,1,"2018"
"12137290",0.59,19.62,0.78,0.5,0.79,2.43,2,"2018"
"12137800",0.5,29.92,0.78,0.39,0.69,3.83,1,"2018"
"12138160",0.57,31.66,0.77,0.4,0.56,3.81,5,"2018"
"12147470",0.46,16.2,0.78,0.39,0.82,3.78,1,"2018"
"12147500",0.44,14.06,0.79,0.39,0.85,4.05,10,"2018"
"12147600",0.68,18.75,0.72,0.56,0.8,1.43,7,"2018"
"12148000",0.48,16.53,0.83,0.38,0.72,4.28,5,"2018"
"12148300",0.53,11.83,0.82,0.45,0.84,3.83,1,"2018"
"12178000",0.37,36.27,0.79,0.26,0.56,5.04,1,"2018"
