"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"12309500",0.5,25.22,0.93,0.4,0.73,5.18,1,"2015"
"12322000",0.58,22.96,0.98,0.47,0.75,5.03,1,"2015"
"12413370",0.69,12.61,0.89,0.59,0.86,2.95,5,"2015"
"13056500",0.95,-2.69,1.08,0.85,0.92,2.42,43,"2015"
"13092747",0.49,5.37,1.04,0.43,0.9,7.2,1,"2015"
"13150430",0.76,-7.59,1.14,0.69,0.93,4.26,12,"2015"
"13154500",0.44,-0.18,1.15,0.38,0.9,9.72,3,"2015"
"13176400",1.06,-8.43,1.02,0.84,0.83,2.22,25,"2015"
"13192200",0.37,20.86,0.74,0.32,0.69,4.84,3,"2015"
"13296000",0.78,3.23,0.87,0.64,0.83,1.9,121,"2015"
"13317000",0.91,6.5,0.76,0.76,0.84,0.06,13,"2015"
"13317660",0.81,19.11,0.89,0.64,0.76,3.74,1,"2015"
"13340000",1.02,11.74,0.88,0.94,0.87,-0.8,14,"2015"
"13340600",0.84,10.61,0.92,0.73,0.85,2.06,8,"2015"
"13341000",0.22,-84.94,0.55,-0.03,0.01,7.07,4,"2015"
"13341050",0.4,8.01,0.65,0.34,0.68,3.71,5,"2015"
"13342500",0.45,8.15,0.67,0.39,0.72,3.68,5,"2015"
"13343000",0.43,-6.41,0.64,0.31,0.5,5.12,1,"2015"
"12309500",0.61,21.81,0.99,0.5,0.77,4.81,4,"2016"
"12322000",0.68,20.21,1.01,0.55,0.76,4.55,3,"2016"
"12413370",0.63,16.24,0.89,0.53,0.82,3.35,6,"2016"
"13056500",0.86,-0.54,1.17,0.8,0.95,3.3,90,"2016"
"13092747",0.45,9.16,1.15,0.4,0.9,7.91,1,"2016"
"13094000",0.53,-5.69,1.18,0.4,0.84,10.13,1,"2016"
"13108150",0.67,-5.98,1.06,0.55,0.89,7.27,1,"2016"
"13150430",0.74,-6.56,1.24,0.68,0.93,4.63,16,"2016"
"13154500",0.42,-0.6,1.21,0.38,0.91,9.98,1,"2016"
"13176400",1.06,-4.69,1.02,0.84,0.84,2.57,59,"2016"
"13192200",0.42,27.18,0.8,0.35,0.71,4.75,4,"2016"
"13251000",0.99,5.81,0.92,0.8,0.81,2.52,1,"2016"
"13266000",1.08,4.97,0.85,0.83,0.79,1.53,1,"2016"
"13296000",0.76,5.17,0.9,0.64,0.85,1.95,117,"2016"
"13310800",0.72,3.81,0.47,0.45,0.7,1.3,2,"2016"
"13310850",0.81,2.78,0.47,0.49,0.68,1.07,1,"2016"
"13311000",0.82,3.1,0.57,0.53,0.72,1.38,2,"2016"
"13311250",0.74,9.82,0.73,0.57,0.75,1.52,93,"2016"
"13311450",0.64,5.9,0.6,0.44,0.71,1.96,11,"2016"
"13317000",0.98,6.98,0.77,0.84,0.84,-0.96,19,"2016"
"13317660",0.87,20.65,0.9,0.69,0.76,2.98,1,"2016"
"13340000",1.07,14.39,0.89,0.96,0.81,-0.83,22,"2016"
"13340600",0.86,13.43,0.93,0.74,0.8,1.79,24,"2016"
"13341000",0.21,-95.82,0.6,0.02,0.01,6.8,18,"2016"
"13341050",0.45,10.4,0.7,0.39,0.72,3.61,1,"2016"
"13342500",0.5,10.55,0.71,0.44,0.78,3.44,4,"2016"
"13343000",0.77,-22.59,0.5,0.37,0.5,4.12,1,"2016"
"12309500",NA,NA,1.29,NA,0,14,-Inf,"2017"
"12322000",NA,NA,1.28,NA,0,14.2,-Inf,"2017"
"12413370",NA,NA,1.05,NA,0,11.6,-Inf,"2017"
"13056500",NA,NA,1.05,NA,0,14.7,-Inf,"2017"
"13092747",NA,NA,0.91,NA,0,15.3,-Inf,"2017"
"13094000",NA,NA,0.97,NA,0,16.6,-Inf,"2017"
"13108150",NA,NA,0.98,NA,0,16.7,-Inf,"2017"
"13150430",NA,NA,1.03,NA,0,14.9,-Inf,"2017"
"13154500",NA,NA,1.1,NA,0,16.8,-Inf,"2017"
"13176400",NA,NA,1.08,NA,0,14.4,-Inf,"2017"
"13192200",NA,NA,1.02,NA,0,14.6,-Inf,"2017"
"13251000",NA,NA,1.05,NA,0,18.4,-Inf,"2017"
"13266000",NA,NA,0.97,NA,0,17.8,-Inf,"2017"
"13296000",NA,NA,1.12,NA,0,9.6,-Inf,"2017"
"13310800",NA,NA,0.88,NA,0,6.7,-Inf,"2017"
"13310850",NA,NA,0.97,NA,0,6.7,-Inf,"2017"
"13311000",NA,NA,0.94,NA,0,7.6,-Inf,"2017"
"13311250",NA,NA,0.99,NA,0,8.9,-Inf,"2017"
"13311450",NA,NA,0.8,NA,0,7.2,-Inf,"2017"
"13317000",NA,NA,0.98,NA,0,16,-Inf,"2017"
"13317660",NA,NA,1.15,NA,0,18.8,-Inf,"2017"
"13340000",NA,NA,1.17,NA,0,16.5,-Inf,"2017"
"13340600",NA,NA,1.19,NA,0,13,-Inf,"2017"
"13341000",NA,NA,0.7,NA,0,10,-Inf,"2017"
"13341050",NA,NA,0.92,NA,0,13,-Inf,"2017"
"13342500",NA,NA,0.99,NA,0,15,-Inf,"2017"
