Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2011-10-01,0,9.3,14.9,20.4,9.7,0.65,11.47
2011-10-02,1.09,9.8,12.8,15.8,9.8,0.24,6.64
2011-10-03,8.48,10,12.5,14.9,11,0.27,3.41
2011-10-04,3.06,8.5,11.3,14.1,9.6,0.28,3.79
2011-10-05,13.85,7.8,10.5,13.2,8,0.27,4.9
2011-10-06,2.61,6.9,9.4,11.8,7.2,0.17,3.5
2011-10-07,0.68,6.8,9.6,12.4,8.6,0.09,2.58
2011-10-08,1.58,9.6,11.4,13.3,10.3,0.28,2.09
2011-10-09,2.8,10.1,13.4,16.6,10.3,0.19,6.5
2011-10-10,4.83,10.4,11.8,13.2,10.8,0.22,1.37
2011-10-11,12.1,9.2,11.7,14.1,10.3,0.22,2.55
2011-10-12,9.46,8.8,11.3,13.8,9.4,0.33,3.58
2011-10-13,0,7.9,11.1,14.2,8.3,0.25,5.06
2011-10-14,0.61,7.2,9.3,11.5,7.3,0.27,3.69
2011-10-15,0.66,7.3,10.5,13.8,9,0.16,4.03
2011-10-16,0,6.8,10.5,14.3,8.7,0.1,3.88
2011-10-17,0,5.1,10.2,15.3,7.5,0.14,5.55
2011-10-18,0,3.4,10.3,17.2,5.1,0.2,10.94
2011-10-19,0,7.1,14,21,6.1,1.26,15.27
2011-10-20,0,6.2,9.9,13.6,8.7,0.24,3.98
2011-10-21,0.48,8.6,11.1,13.6,9.4,0.3,3.45
2011-10-22,0.17,10.4,12.1,13.8,10.4,0.51,3.26
2011-10-23,0.97,10.5,13.6,16.7,11.9,0.12,3.82
2011-10-24,0.79,3.5,8.8,14,8.3,0.16,3.88
2011-10-25,0.4,1.6,7,12.3,4.2,0.14,5.63
2011-10-26,0,1.1,6.5,11.9,2.5,0.17,6.24
2011-10-27,0,1.3,5.3,9.3,2.3,0.22,4.86
2011-10-28,0,1.6,6.7,11.8,2.7,0.19,6.1
2011-10-29,7.34,5.3,8.1,11,6.5,0.22,3.89
2011-10-30,0.71,5.7,9.7,13.8,8.5,0.07,4.19
2011-10-31,2.85,5.7,10.3,15,9.7,0.28,2.32
2011-11-01,2.13,0.5,5.5,10.5,3.5,0.17,4.01
2011-11-02,0.47,-0.5,4.3,9.1,0.6,0.18,4.66
2011-11-03,9.13,-1.5,3.9,9.3,1.5,0.07,5.55
2011-11-04,2.16,0.2,5.3,10.3,2.5,0.07,4.87
2011-11-05,2.3,0.3,3.9,7.4,2.1,0.05,3.12
2011-11-06,3.92,1.6,4.1,6.6,3,0.13,1.71
2011-11-07,0,1.5,6,10.4,3.4,0.17,4.73
2011-11-08,0,3.4,6.3,9.2,4.9,0.1,2.4
2011-11-09,0.85,4.2,6.4,8.5,5.3,0.14,1.85
2011-11-10,0,2.2,6.6,11,4.1,0.29,4.5
2011-11-11,0,1.3,5.9,10.5,1.2,0.81,5.23
2011-11-12,6.96,0.9,4,7.2,2.1,0.2,2.29
2011-11-13,3.97,3.8,5.5,7.2,4.6,0.22,1.08
2011-11-14,1.86,5.6,6.9,8.3,5.8,0.23,1.41
2011-11-15,2.76,1.8,4.4,7.1,4,0.09,0.6
2011-11-16,1.73,0.1,4.4,8.6,1.6,0.17,3.31
2011-11-17,17.41,0.9,5.2,9.5,5.1,0.12,2.44
2011-11-18,18.92,1.9,5.7,9.5,2.2,0.53,3.8
2011-11-19,7.28,0.2,1.4,2.6,0.9,0.04,0.45
2011-11-20,1.56,-2,1.2,4.4,0,0.12,1.46
2011-11-21,6.54,-2.4,-0.2,2,-0.6,0.06,0.86
2011-11-22,39.35,2.3,4.7,7.1,4.7,0.01,0.22
2011-11-23,66.1,7.8,9.2,10.7,9.2,0,0.29
2011-11-24,14.85,4,6.6,9.2,4.5,0.16,0.81
2011-11-25,16.69,1.3,3.5,5.8,2.9,0.16,1.35
2011-11-26,1.04,1.9,5,8.1,2.8,0.27,3.14
2011-11-27,0.86,2.8,7.4,12,4.5,0.09,5.84
2011-11-28,8.06,3,6.9,10.8,5.4,0.09,2.9
2011-11-29,0.52,0.4,4.3,8.2,2.1,0.07,3.15
2011-11-30,4.05,0.7,3,5.2,2.5,0.01,1.01
2011-12-01,1.32,-1.4,3.5,8.3,2.8,0.1,2.86
2011-12-02,0,-0.7,3.9,8.6,-0.9,0.21,5.72
2011-12-03,0,-0.9,3.4,7.6,0.5,0.24,3.79
2011-12-04,0,-2.1,2,6.2,-0.8,0.06,3.45
2011-12-05,0,-2.8,0.7,4.2,-0.9,0.07,1.92
2011-12-06,0,-2.1,2.4,7,-3.2,0.87,4.75
2011-12-07,0,-1.8,1,3.7,-1.6,0.28,2.15
2011-12-08,0,-1.4,1.6,4.6,0.4,0.06,1.69
2011-12-09,0,-3.3,1.7,6.7,-2,0.12,3.87
2011-12-10,0,-2.6,1.5,5.5,-2.5,0.37,3.42
2011-12-11,0.56,-2.9,-0.7,1.4,-1.1,0.05,0.9
2011-12-12,0.84,-1.4,1.4,4.2,-0.3,0.14,1.62
2011-12-13,0,-4.5,-0.5,3.5,-4.3,0.21,3.6
2011-12-14,0,-4.8,0.6,6,-4,0.36,4.68
2011-12-15,2.91,-3.4,0.6,4.6,-0.9,0.1,2.73
2011-12-16,0.73,1.1,3.9,6.8,3.1,0.04,1.15
2011-12-17,0,1.8,5.3,8.8,3.2,0.06,3.25
2011-12-18,0,0.7,4.7,8.7,2,0.1,4.64
2011-12-19,0,2.2,3.9,5.7,3.1,0.12,0.69
2011-12-20,0,1,3.4,5.8,2.2,0.12,1.9
2011-12-21,0,-0.1,2.7,5.4,2.2,0.08,1.18
2011-12-22,0,-4.1,-0.2,3.8,-1.3,0.04,1.57
2011-12-23,0,-4.1,-1,2.1,-5.3,0.62,2.78
2011-12-24,0,-0.5,3.3,7.2,0.5,0.22,3.55
2011-12-25,0,1.9,5.6,9.3,-1,1.55,6.22
2011-12-26,6.3,-0.7,4,8.7,1.2,0.08,4.65
2011-12-27,3.9,0.8,1.9,3,1.6,0.01,0.29
2011-12-28,34.83,5.5,6.5,7.6,6.2,0.03,0.09
2011-12-29,35.42,5.4,7.4,9.4,7.4,0.02,0.31
2011-12-30,31.83,5,6.4,7.7,6.2,0.12,0.86
2011-12-31,11.74,-1.2,2.5,6.1,2.1,0.06,0.69
2012-01-01,0.04,-0.9,1.2,3.2,0.6,0.07,0.83
2012-01-02,0,0.8,4.7,8.5,0,0.47,4.2
2012-01-03,4.71,1.9,4.9,7.8,3.2,0.14,3.33
2012-01-04,1.04,4.1,7,9.9,5.5,0.23,2.59
2012-01-05,10.58,2.9,6.3,9.7,5.2,0.23,2.52
