"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"27",2010-06-01,1.47,0,8.1,16.2,1.9,0.53,12.58,"USGS","13016450",12.6,"A",9.3,"A",84.5,"A","2010",6,2010,152
"28",2010-06-02,4.05,5.9,10.5,15.1,4.7,1.07,9.01,"USGS","13016450",10.8,"A",9.1,"A",122,"A","2010",6,2010,153
"29",2010-06-03,4.05,6.6,10.4,14.2,6.2,0.65,7.44,"USGS","13016450",13,"A",9.7,"A",191,"A","2010",6,2010,154
"30",2010-06-04,6.61,7.9,11.9,15.8,5.2,0.83,10.47,"USGS","13016450",9.1,"A",8.3,"A",433,"A","2010",6,2010,155
"31",2010-06-05,12.38,7.3,10.2,13.1,7.1,0.62,4.59,"USGS","13016450",10.6,"A",8.3,"A",766,"A","2010",6,2010,156
"32",2010-06-06,5.08,6.6,11.1,15.6,5.2,0.89,9.51,"USGS","13016450",8.8,"A",7.9,"A",825,"A","2010",6,2010,157
"33",2010-06-07,13.93,7.6,10.5,13.4,7.5,0.54,4.83,"USGS","13016450",8.2,"A",7.6,"A",945,"A","2010",6,2010,158
"34",2010-06-08,9.9,2.6,7.8,13,5.8,0.26,5.86,"USGS","13016450",11.6,"A",8.7,"A",969,"A","2010",6,2010,159
"35",2010-06-09,0,4.1,11.5,18.9,2.8,0.52,15.58,"USGS","13016450",10.2,"A",8.4,"A",891,"A","2010",6,2010,160
"36",2010-06-10,1.12,6.3,12.5,18.7,6.2,0.94,11.52,"USGS","13016450",9,"A",8,"A",810,"A","2010",6,2010,161
"37",2010-06-11,6.89,0.9,8.1,15.3,3.3,0.42,8.68,"USGS","13016450",11.3,"A",8.3,"A",731,"A","2010",6,2010,162
"38",2010-06-12,1.33,2.3,8.8,15.2,1.2,0.54,11.82,"USGS","13016450",9.8,"A",8.2,"A",634,"A","2010",6,2010,163
