"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"25",2012-06-01,0,0.8,9.3,17.8,0.8,1.17,13.43,"USGS","13311450",6,"A",85.1,"A","2012",6,2012,153
"26",2012-06-02,0.68,1.8,11.9,22,1.2,0.69,19.92,"USGS","13311450",5.7,"A",108,"A","2012",6,2012,154
"27",2012-06-03,3.33,3.1,10.7,18.2,3.6,0.76,12.77,"USGS","13311450",5.4,"A",119,"A","2012",6,2012,155
"28",2012-06-04,0,3.7,11.4,19,3.4,0.76,13.99,"USGS","13311450",5.8,"A",124,"A","2012",6,2012,156
"29",2012-06-05,0.88,1.9,13.3,24.7,1.8,1.08,24.33,"USGS","13311450",4.1,"A",142,"A","2012",6,2012,157
"30",2012-06-06,8.72,-1.7,2.3,6.3,-1.3,0.36,3.53,"USGS","13311450",4,"A",119,"A","2012",6,2012,158
"31",2012-06-07,1.84,-3.7,2.2,8.2,-6.6,0.58,7.37,"USGS","13311450",4.3,"A",95.6,"A","2012",6,2012,159
"32",2012-06-08,3.23,-4.7,4.8,14.4,-4.5,0.3,13.07,"USGS","13311450",4.9,"A",90.9,"A","2012",6,2012,160
"33",2012-06-09,1.38,-2.8,3.7,10.1,-3.2,0.47,7.83,"USGS","13311450",4,"A",81.1,"A","2012",6,2012,161
"34",2012-06-10,2.74,-3.7,1.8,7.3,-4,0.42,6.19,"USGS","13311450",4.1,"A",72.8,"A","2012",6,2012,162
"35",2012-06-11,0,-1.4,4.3,10.1,-2.5,0.77,6.83,"USGS","13311450",5.2,"A",64.6,"A","2012",6,2012,163
"36",2012-06-12,0,-2.9,7,16.8,-3.5,0.65,14.95,"USGS","13311450",5.4,"A",61.7,"A","2012",6,2012,164
"37",2012-06-13,3.66,0.5,9.6,18.7,-0.2,0.51,16.4,"USGS","13311450",6,"A",66.9,"A","2012",6,2012,165
"38",2012-06-14,0,-0.1,8.1,16.2,-4.5,0.77,14.58,"USGS","13311450",5.6,"A",73.4,"A","2012",6,2012,166
