PRISM Time Series Data
Location:  Lat: 48.8229   Lon: -120.1459   Elev: 1729m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2011-10-01 - 2024-09-30
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Dec-31
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2011-10-01,0.69,5.5,11.1,16.7,-0.3,2.73,14.01
2011-10-02,4.08,2.2,6.3,10.3,3.1,0.27,4.07
2011-10-03,2.32,1.9,5.7,9.5,2.3,0.26,4.54
2011-10-04,6.91,2.3,4.7,7.0,3.0,0.33,2.72
2011-10-05,5.25,0.2,2.8,5.4,0.6,0.15,2.05
2011-10-06,9.54,-0.3,2.0,4.3,1.2,0.11,1.35
2011-10-07,0.81,1.0,5.1,9.1,0.3,0.34,4.74
2011-10-08,1.05,-0.4,3.6,7.5,-2.0,1.02,4.31
2011-10-09,0.00,-0.7,4.1,8.9,-2.4,1.02,6.26
2011-10-10,1.15,0.9,4.7,8.5,1.0,0.18,4.83
2011-10-11,5.74,1.6,3.2,4.8,2.1,0.15,1.56
2011-10-12,11.18,-0.7,3.4,7.6,-1.2,0.40,4.14
2011-10-13,0.19,-2.4,1.9,6.2,-4.2,1.04,4.48
2011-10-14,0.00,-3.4,1.6,6.6,-6.7,1.15,5.72
2011-10-15,0.00,-1.6,1.2,4.1,-2.7,0.32,3.46
2011-10-16,0.00,-2.4,3.0,8.3,-4.7,0.46,6.05
2011-10-17,0.00,-1.9,3.3,8.5,-7.2,1.57,7.66
2011-10-18,0.00,0.1,5.2,10.3,-4.7,1.68,7.43
2011-10-19,0.00,0.5,5.7,11.0,-2.6,1.70,7.50
2011-10-20,0.00,1.3,6.4,11.6,-1.4,1.46,7.87
2011-10-21,0.00,-0.1,3.9,7.9,-1.4,0.75,4.80
2011-10-22,1.51,0.5,3.6,6.7,-0.9,1.10,3.26
2011-10-23,9.82,0.5,3.8,7.0,0.1,0.30,2.62
2011-10-24,0.26,-2.7,1.7,6.1,-6.1,1.41,5.34
2011-10-25,0.01,-4.1,-0.5,3.1,-8.1,1.31,3.87
2011-10-26,0.00,-5.1,-0.4,4.3,-9.9,1.08,5.51
2011-10-27,0.00,-5.2,-2.3,0.7,-8.6,0.89,3.41
2011-10-28,0.00,-5.6,-0.7,4.1,-9.7,0.90,6.00
2011-10-29,5.41,-4.4,-0.9,2.5,-5.4,0.16,3.51
2011-10-30,0.00,-3.6,0.8,5.1,-5.6,0.93,4.64
2011-10-31,3.33,-3.8,0.8,5.4,-3.3,0.51,3.43
2011-11-01,0.00,-5.5,-1.9,1.6,-9.4,1.36,3.94
2011-11-02,0.00,-7.3,-2.7,1.9,-13.6,1.19,5.20
2011-11-03,0.59,-6.9,-3.8,-0.6,-11.8,0.71,4.05
2011-11-04,0.00,-7.5,-3.5,0.5,-8.0,0.50,2.88
2011-11-05,0.00,-8.7,-4.5,-0.3,-12.9,0.97,3.61
2011-11-06,0.00,-10.2,-5.5,-0.9,-13.0,0.58,3.63
2011-11-07,0.00,-9.8,-5.2,-0.5,-12.3,0.39,3.49
2011-11-08,1.30,-7.1,-4.6,-2.1,-8.1,0.44,1.83
2011-11-09,0.27,-5.3,-2.0,1.3,-6.2,0.23,2.48
2011-11-10,0.00,-3.9,-1.5,1.0,-5.0,0.27,2.17
2011-11-11,0.00,-4.6,-0.3,3.9,-6.3,0.56,3.67
2011-11-12,5.47,-7.6,-3.5,0.6,-7.2,0.20,3.48
2011-11-13,1.69,-7.2,-4.6,-2.1,-7.7,0.37,1.93
2011-11-14,1.82,-5.8,-3.5,-1.1,-9.5,0.96,2.55
2011-11-15,0.64,-9.8,-6.2,-2.5,-12.3,0.72,2.88
2011-11-16,0.00,-11.6,-6.9,-2.2,-16.2,0.85,3.41
2011-11-17,12.16,-11.0,-8.3,-5.5,-9.9,0.14,1.37
2011-11-18,6.49,-9.4,-6.5,-3.6,-9.1,0.22,1.26
2011-11-19,4.04,-11.8,-8.3,-4.8,-10.9,0.24,0.94
2011-11-20,0.00,-15.0,-10.2,-5.5,-13.9,0.29,1.22
2011-11-21,0.58,-15.6,-11.3,-7.1,-13.9,0.23,1.31
2011-11-22,8.95,-11.8,-8.0,-4.2,-8.0,0.15,0.69
2011-11-23,29.78,-6.5,-3.6,-0.7,-3.6,0.04,0.36
2011-11-24,11.04,-6.8,-2.8,1.3,-6.0,0.57,2.21
2011-11-25,7.05,-8.6,-6.4,-4.3,-8.7,0.23,1.65
2011-11-26,0.65,-9.6,-6.7,-3.7,-12.5,0.50,2.14
2011-11-27,4.27,-7.1,-3.9,-0.7,-5.1,0.16,0.74
2011-11-28,10.61,-5.8,-1.9,1.9,-6.0,0.18,2.57
2011-11-29,0.02,-6.9,-3.4,0.2,-7.4,0.29,2.06
2011-11-30,0.87,-6.7,-3.5,-0.3,-5.2,0.17,1.41
2011-12-01,0.00,-8.6,-4.8,-0.9,-12.8,0.45,3.10
2011-12-02,0.00,-7.7,-2.6,2.6,-14.0,0.94,5.95
2011-12-03,0.00,-9.2,-5.4,-1.7,-14.1,0.66,3.23
2011-12-04,0.00,-6.4,-2.7,1.1,-9.4,0.96,3.49
2011-12-05,0.00,-7.8,-4.0,-0.2,-12.4,0.78,4.08
2011-12-06,0.00,-6.2,-1.7,2.9,-9.9,1.19,4.87
2011-12-07,0.00,-6.4,-2.0,2.3,-8.4,0.47,3.74
2011-12-08,0.00,-8.6,-4.9,-1.3,-11.7,0.37,2.52
2011-12-09,0.00,-7.7,-3.1,1.4,-13.1,1.35,5.42
2011-12-10,0.00,-5.8,-0.7,4.4,-11.9,1.44,7.43
2011-12-11,0.00,-8.1,-4.2,-0.3,-11.0,0.45,3.60
2011-12-12,0.00,-11.6,-8.2,-4.7,-13.0,0.66,1.95
2011-12-13,0.00,-13.8,-8.1,-2.4,-17.8,0.57,3.65
2011-12-14,0.00,-9.7,-6.6,-3.4,-13.1,0.46,2.63
2011-12-15,0.91,-9.3,-6.1,-2.9,-8.8,0.23,1.94
2011-12-16,0.00,-7.9,-5.4,-2.8,-7.2,0.23,1.21
2011-12-17,0.45,-5.2,-2.9,-0.7,-5.3,0.49,1.74
2011-12-18,0.05,-4.1,-0.7,2.7,-5.4,0.83,2.70
2011-12-19,0.00,-7.5,-2.9,1.7,-9.2,0.83,2.85
2011-12-20,0.00,-6.5,-3.6,-0.6,-8.3,0.60,3.36
2011-12-21,0.24,-8.9,-4.5,-0.2,-9.5,0.29,2.90
2011-12-22,0.20,-11.5,-7.2,-3.0,-17.0,0.83,3.00
2011-12-23,0.00,-10.8,-5.0,0.9,-16.0,0.98,4.76
2011-12-24,0.01,-8.8,-5.4,-2.1,-9.1,0.33,2.35
2011-12-25,0.07,-5.5,-2.9,-0.2,-6.8,0.26,2.99
2011-12-26,2.66,-8.0,-4.4,-0.8,-8.1,0.23,2.23
2011-12-27,0.18,-9.1,-6.6,-4.1,-8.4,0.12,1.18
2011-12-28,9.39,-6.2,-3.3,-0.5,-3.7,0.04,0.79
2011-12-29,6.61,-3.3,-0.4,2.6,-2.1,0.14,1.81
2011-12-30,8.86,-4.9,-2.7,-0.4,-6.1,0.16,2.14
2011-12-31,3.95,-8.6,-5.4,-2.1,-9.1,0.14,1.07
2012-01-01,0.61,-10.8,-7.6,-4.4,-12.2,0.29,2.39
2012-01-02,0.18,-9.3,-6.6,-3.9,-8.3,0.18,1.04
2012-01-03,3.65,-7.6,-4.3,-1.1,-7.6,0.26,2.00
2012-01-04,1.00,-6.1,-3.6,-1.1,-3.7,0.01,0.63
2012-01-05,4.86,-3.6,-0.7,2.1,-2.2,0.00,2.51
2012-01-06,0.41,-7.1,-4.0,-1.0,-9.7,0.80,2.06
2012-01-07,0.00,-9.2,-6.9,-4.6,-9.8,0.37,1.73
2012-01-08,1.19,-9.5,-5.8,-2.2,-6.8,0.21,1.43
2012-01-09,0.00,-3.8,-1.8,0.2,-2.3,0.15,1.11
2012-01-10,0.00,-4.9,-2.1,0.6,-4.5,0.53,2.98
2012-01-11,0.00,-13.2,-8.7,-4.2,-18.1,0.71,2.94
2012-01-12,0.00,-11.5,-7.3,-3.1,-18.8,1.34,3.34
2012-01-13,0.00,-8.7,-4.9,-1.0,-14.5,1.84,4.97
2012-01-14,1.76,-8.5,-4.4,-0.2,-11.7,0.51,4.54
2012-01-15,2.55,-12.4,-7.6,-2.9,-11.4,0.25,1.80
2012-01-16,0.00,-17.2,-12.9,-8.7,-14.9,0.24,1.27
2012-01-17,2.36,-17.4,-14.0,-10.6,-15.0,0.22,0.60
2012-01-18,3.45,-16.3,-13.2,-10.1,-14.5,0.35,0.83
2012-01-19,8.75,-16.8,-13.4,-9.9,-16.6,0.24,0.92
2012-01-20,1.11,-12.3,-8.8,-5.4,-14.2,0.41,1.57
2012-01-21,8.85,-11.6,-7.4,-3.3,-9.6,0.16,1.02
2012-01-22,2.67,-9.3,-5.7,-2.0,-7.9,0.17,1.22
2012-01-23,5.76,-10.4,-8.3,-6.1,-8.7,0.22,0.77
2012-01-24,0.31,-9.7,-6.3,-3.0,-11.5,0.52,1.77
2012-01-25,20.74,-9.1,-5.7,-2.2,-5.8,0.05,0.48
2012-01-26,6.27,-7.6,-4.5,-1.4,-5.8,0.15,1.22
2012-01-27,1.28,-10.0,-6.3,-2.6,-13.7,0.20,2.45
2012-01-28,0.00,-12.0,-8.4,-4.8,-15.2,0.60,2.47
2012-01-29,4.97,-9.1,-4.4,0.3,-7.1,0.01,2.49
2012-01-30,2.84,-2.8,0.6,4.0,-2.5,0.29,2.96
2012-01-31,0.00,-5.5,-2.1,1.2,-7.5,0.76,3.07
2012-02-01,2.22,-6.0,-2.3,1.4,-6.9,0.07,3.17
