"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"12309500",0.63,28.31,1.08,0.57,0.8,3.74,5,"2019"
"12322000",0.7,17.6,1.21,0.62,0.89,5.07,98,"2019"
"12413370",0.69,22.03,0.89,0.61,0.81,2.01,26,"2019"
"13092747",0.47,8.48,1.11,0.46,0.94,6.7,2,"2019"
"13150430",0.6,-9.08,1.3,0.55,0.95,6.15,2,"2019"
"13154500",0.43,8.74,1.14,0.4,0.89,9.01,1,"2019"
"13176400",1.04,-3.91,1.05,0.84,0.87,3.05,21,"2019"
"13192200",0.42,15.96,0.77,0.39,0.86,3.59,5,"2019"
"13211205",0.66,21.22,0.99,0.62,0.89,3.71,1,"2019"
"13211210",0.66,22.54,1.01,0.62,0.87,3.95,5,"2019"
"13296000",0.64,16,1.11,0.61,0.77,1.95,1,"2019"
"13307000",0.69,10.21,1.16,0.69,0.9,3.97,1,"2019"
"13310800",0.56,5.9,1.56,0.4,0.73,2.26,1,"2019"
"13310850",0.45,1.03,0.25,0.34,0.83,3.96,1,"2019"
"13311000",0.59,6.45,-0.24,0.46,0.77,2.56,1,"2019"
"13311250",0.64,17.18,0.86,0.6,0.8,0.92,4,"2019"
"13311450",0.51,7.31,-1.52,0.41,0.75,2.64,1,"2019"
"13317660",0.8,19.83,0.98,0.73,0.85,2.5,1,"2019"
"13337099",0.8,15.83,0.89,0.79,0.91,0.37,13,"2019"
"13340000",0.91,27.49,1.03,0.9,0.8,-0.2,10,"2019"
"13340600",0.86,22.4,0.92,0.88,0.76,-0.93,2,"2019"
"13341000",0.18,-104.94,0.6,0.07,0.2,5.2,1,"2019"
"13341050",0.42,4.67,0.68,0.38,0.82,3.15,1,"2019"
"13342500",0.43,6.45,0.72,0.4,0.84,3.58,1,"2019"
"12309500",0.89,-5.08,1.44,0.38,0.56,6.14,1,"2020"
"12322000",1.24,-15.69,1.82,0.48,0.56,5.74,36,"2020"
"12413370",1.64,-26.03,2.23,0.49,0.55,3.29,1,"2020"
"13092747",0.43,14.66,5.5,0.24,0.68,8.68,1,"2020"
"13150430",0.52,-41.92,-10.33,0.36,0.85,4.84,2,"2020"
"13154500",0.41,-28.6,2.2,0.2,0.57,10.31,1,"2020"
"13176400",0.95,53.41,-2.45,0.22,0.14,3.57,16,"2020"
"13192200",0.72,-9.71,1.93,0.42,0.7,5.14,1,"2020"
"13211205",1.03,-6.14,1.48,0.59,0.76,5.71,1,"2020"
"13211210",0.85,2.23,1.39,0.64,0.81,6.25,32,"2020"
"13296000",1.41,16.9,-2.76,0.11,0.02,3,15,"2020"
"13307000",1,65.07,-2.27,0.36,0.26,4.23,8,"2020"
"13310800",0.68,-175.86,0.69,0.07,-0.01,2.2,1,"2020"
"13310850",0.04,0.29,-0.04,0.03,-0.1,2.03,1,"2020"
"13311000",0.64,-176.2,0.65,0.13,0.36,2.62,1,"2020"
"13311250",0.07,42.18,-0.11,0.07,0.03,2.05,15,"2020"
"13311450",0.36,-173.94,0.37,-0.01,-0.16,2.89,1,"2020"
"13317660",1.37,1.22,1.36,0.56,0.41,5.16,1,"2020"
"13337099",1.44,-30.15,1.45,0.69,0.73,0.74,7,"2020"
"13340000",2.32,-37.18,2.13,0.77,0.56,0.79,10,"2020"
"13340600",1.37,-14.55,1.47,0.55,0.48,2.36,11,"2020"
"13341000",0.47,-90.19,0.7,0.19,0.39,7.98,1,"2020"
"13341050",1.15,-11.59,1.3,0.47,0.54,3.47,5,"2020"
"13342500",1.06,-4.78,1.14,0.49,0.57,3.57,1,"2020"
